method	DER	B3Precision	B3Recall	B3F1	TauRefSys	TauSysRef	CE	MI	NMI
diartk	93.62	0.392475438017529	0.506841938114232	0.442386674485631	0.336567698075135	0.243933304624826	1.8349411183395	0.971912437786884	0.378615368161867
diartk	102.21	0.379074294235641	0.398095383102129	0.388352069794715	0.17515822634633	0.15994218702185	1.71009997235146	0.487906326946401	0.214367323740758
diartk	128.41	0.340810834491015	0.591359528386902	0.432413950024173	0.0492715293225212	0.0552845645038659	1.92685591173527	0.163622140619974	0.0964503691285518
diartk	103.61	0.256636217442894	0.597319621301143	0.359020551790138	0.226651994877206	0.109088535159878	2.51360200677909	0.504291624474147	0.227896938287371
diartk	86.93	0.284668602905323	0.58241318086103	0.382420089115908	0.0708613023804935	0.0874989361785356	2.21850478279457	0.294642096262632	0.152589524544225
diartk	140.94	0.464620702268402	0.548062028938233	0.502903736629371	0.0715406706203152	0.116918600436038	1.48607629770759	0.274091825494008	0.162145172899388
diartk	99.76	0.187564042969425	0.738295462998475	0.299133250894717	0.201682343471939	0.0709659176013619	2.94382282533309	0.364090167351859	0.194338271677646
diartk	207.75	0.551706925373079	0.388924465560805	0.456230406862961	0.0874185629152765	0.122660824189477	1.05330770176891	0.276250610301466	0.170091323932702
diartk	91.12	0.527324843941693	0.877187259745482	0.658680880910306	0.444100108260396	0.146539445481192	1.20830911630208	0.317633575842828	0.30981121601773
diartk	122.61	0.295279293164414	0.483012793283076	0.366504243518653	0.0747835020040023	0.0461662348890075	2.25092664391733	0.212453794147634	0.106195014181035
diartk	119.93	0.319478544934686	0.620593699545898	0.421810926321104	0.227416737896895	0.113850687622098	2.15862188756084	0.414111630249973	0.214431569018925
diartk	84.72	0.439216776644226	0.583752314157953	0.501273815774841	0.387095382072247	0.303902016466666	1.52841855124312	1.07175822948578	0.459961673173074
diartk	101.5	0.237403476329122	0.496373442159322	0.321189663389313	0.2539142411796	0.0992359032512853	2.52157551269753	0.559617672510607	0.238614794083014
diartk	126.23	0.41925321264733	0.657602127476727	0.512049844237342	0.471293419485073	0.271412015493423	1.81607498055496	0.931877706792763	0.408961129443856
diartk	101.68	0.312368199045645	0.622558977176474	0.416005933822834	0.350239113580174	0.180460117175548	2.20614868679843	0.839252506780217	0.362688109838334
diartk	100.83	0.179839982482315	0.796702837044226	0.293441355346016	0.172847662775187	0.0332222876704844	3.11635150451625	0.242255248081855	0.147735849869812
diartk	91.8	0.158986932765556	0.553296680932021	0.24699976391172	0.104703363852014	0.011384559118802	2.94292104064096	0.0857730523742529	0.0493235353255219
diartk	113.25	0.63223352122834	0.50963901817614	0.564355232125816	0.145010068023566	0.262552772672239	0.760031440776258	0.238095270211134	0.201898898877726
diartk	108.42	0.268084147214052	0.601913722679098	0.370951545112817	0.282941084912024	0.113164306711307	2.3171653077383	0.462013790721881	0.226381146219277
diartk	94.05	0.306027037589944	0.695037435228911	0.424948148880526	0.172631437331144	0.0806310456256141	2.30134476291418	0.314413753325843	0.180559982160675
diartk	106.93	0.509110915472079	0.737703262475007	0.602451896919846	0.0299598104223707	0.0626435030594	1.3420266419573	0.098651886846542	0.0866609373463858
diartk	99.86	0.336644954286165	0.456714020442362	0.387593700786659	0.173344686191008	0.172199419473822	1.80678740175309	0.697035430880749	0.29589173599122
diartk	109.32	0.263223482872248	0.749667029365138	0.389637308435438	0.0659952061157434	0.0367846149682945	2.41969790680127	0.15093020481059	0.102705485689538
diartk	102.24	0.434695112812935	0.78152448147156	0.558657127768463	0.0495708939257828	0.0659752067995367	1.38137690817776	0.0901617626300872	0.0911412570988901
diartk	96.61	0.432838683960828	0.863196663777142	0.576565922527932	0.174406263433966	0.0500754552784965	1.65838548745913	0.141140870529657	0.147267892752597
diartk	113.04	0.430417665666668	0.332155271564912	0.374955600037066	0.191734646981844	0.197329406167309	1.52693687867052	0.814749712030236	0.321853056249141
diartk	80.04	0.409304244917549	0.440964090739822	0.424544738706457	0.339725736841629	0.304002137681839	1.90193205481203	1.42093015637011	0.454093093186306
diartk	99.62	0.610818500979251	0.840807477176797	0.707593788688821	0.117031618636457	0.0881697428996802	1.17387795411146	0.0986402041047182	0.117157491803631
